period,year,month,quarter,continentId,continentName,value,quantity
2024-02,2024,2,1,1B,ทวีปยุโรป,3176113478.0,0.0
2024-02,2024,2,1,1A,ทวีปเอเชีย,2920215029.0,0.0
2024-02,2024,2,1,1F,ทวีปออสเตรเลีย,38735285.0,0.0
2024-02,2024,2,1,1D,ทวีปอเมริกาใต้,20582644.0,0.0
2024-02,2024,2,1,1E,ทวีปแอฟริกา,9811508.0,0.0
2024-03,2024,3,1,1C,ทวีปอเมริกาเหนือ,7384234582.0,0.0
2024-03,2024,3,1,1B,ทวีปยุโรป,3282531072.0,0.0
2024-03,2024,3,1,1A,ทวีปเอเชีย,3268957918.0,0.0
2024-03,2024,3,1,1F,ทวีปออสเตรเลีย,43008744.0,0.0
2024-03,2024,3,1,1E,ทวีปแอฟริกา,83357441.0,0.0
2024-03,2024,3,1,1D,ทวีปอเมริกาใต้,60623244.0,0.0
2024-04,2024,4,2,1C,ทวีปอเมริกาเหนือ,6124902488.0,0.0
2024-04,2024,4,2,1B,ทวีปยุโรป,3359152190.0,0.0
2024-04,2024,4,2,1A,ทวีปเอเชีย,2783213397.0,0.0
2024-04,2024,4,2,1F,ทวีปออสเตรเลีย,44038509.0,0.0
2024-04,2024,4,2,1E,ทวีปแอฟริกา,20386008.0,0.0
2024-04,2024,4,2,1D,ทวีปอเมริกาใต้,31397968.0,0.0
2024-05,2024,5,2,1C,ทวีปอเมริกาเหนือ,6279529097.0,0.0
2024-05,2024,5,2,1B,ทวีปยุโรป,3529845319.0,0.0
2024-05,2024,5,2,1A,ทวีปเอเชีย,3137516844.0,0.0
2024-05,2024,5,2,1F,ทวีปออสเตรเลีย,15767735.0,0.0
2024-05,2024,5,2,1D,ทวีปอเมริกาใต้,28586907.0,0.0
2024-05,2024,5,2,1E,ทวีปแอฟริกา,7191918.0,0.0
2024-05,2024,5,2,1G,ประเทศอื่น,11536.0,0.0
2024-06,2024,6,2,1C,ทวีปอเมริกาเหนือ,7339476989.0,0.0
2024-06,2024,6,2,1B,ทวีปยุโรป,2765672836.0,0.0
2024-06,2024,6,2,1A,ทวีปเอเชีย,3009383463.0,0.0
2024-06,2024,6,2,1F,ทวีปออสเตรเลีย,37545082.0,0.0
2024-06,2024,6,2,1D,ทวีปอเมริกาใต้,29250559.0,0.0
2024-06,2024,6,2,1E,ทวีปแอฟริกา,6073876.0,0.0
2024-06,2024,6,2,1G,ประเทศอื่น,0.0,0.0
2024-07,2024,7,3,1C,ทวีปอเมริกาเหนือ,8391463821.0,0.0
2024-07,2024,7,3,1B,ทวีปยุโรป,4253653113.0,0.0
2024-07,2024,7,3,1A,ทวีปเอเชีย,3144612655.0,0.0
2024-07,2024,7,3,1F,ทวีปออสเตรเลีย,56732264.0,0.0
2024-07,2024,7,3,1D,ทวีปอเมริกาใต้,22271749.0,0.0
2024-07,2024,7,3,1E,ทวีปแอฟริกา,16995512.0,0.0
2024-07,2024,7,3,1G,ประเทศอื่น,0.0,0.0
2024-08,2024,8,3,1C,ทวีปอเมริกาเหนือ,9455200313.0,0.0
2024-08,2024,8,3,1B,ทวีปยุโรป,3832473881.0,0.0
2024-08,2024,8,3,1A,ทวีปเอเชีย,3735893123.0,0.0
2024-08,2024,8,3,1F,ทวีปออสเตรเลีย,143567379.0,0.0
2024-08,2024,8,3,1D,ทวีปอเมริกาใต้,29583264.0,0.0
2024-08,2024,8,3,1E,ทวีปแอฟริกา,70751401.0,0.0
2024-08,2024,8,3,1G,ประเทศอื่น,0.0,0.0
2024-09,2024,9,3,1C,ทวีปอเมริกาเหนือ,7475263768.0,0.0
2024-09,2024,9,3,1B,ทวีปยุโรป,3474506606.0,0.0
2024-09,2024,9,3,1A,ทวีปเอเชีย,3355123525.0,0.0
2024-09,2024,9,3,1F,ทวีปออสเตรเลีย,13743399.0,0.0
2024-09,2024,9,3,1D,ทวีปอเมริกาใต้,23448990.0,0.0
2024-09,2024,9,3,1E,ทวีปแอฟริกา,33324514.0,0.0
2024-09,2024,9,3,1G,ประเทศอื่น,0.0,0.0
2024-10,2024,10,4,1C,ทวีปอเมริกาเหนือ,9555189430.0,0.0
2024-10,2024,10,4,1B,ทวีปยุโรป,3281135839.0,0.0
2024-10,2024,10,4,1A,ทวีปเอเชีย,3210987772.0,0.0
2024-10,2024,10,4,1F,ทวีปออสเตรเลีย,23131071.0,0.0
2024-10,2024,10,4,1D,ทวีปอเมริกาใต้,22862397.0,0.0
